b,chi,seed,NOR,COR(1.05),COR(1.10),COR(1.15),COR(1.20),COR(1.25),COR(1.30),COR(1.35),COR(1.40),COR(1.45),COR(1.50),COR(1.55),COR(1.60),COR(1.65),COR(1.70),COR(1.75),COR(1.80),COR(1.85),COR(1.90),COR(1.95)
6,5,1,224,204,185,168,152,137,123,110,98,87,75,65,54,42,34,37,48,62,92,174,
6,5,2,129,116,105,95,86,77,68,61,53,46,39,32,23,26,32,39,48,65,97,193,
6,5,3,388,384,375,363,349,333,316,297,278,259,238,217,196,173,150,125,98,62,86,158,
6,5,4,169,152,136,122,108,95,83,72,61,49,38,39,37,31,34,41,51,69,101,196,
6,5,5,92,83,75,68,61,55,49,43,37,32,26,21,23,27,31,38,48,63,93,181,
6,5,6,77,70,64,58,52,47,42,37,32,27,21,20,23,26,32,37,48,59,95,182,
6,5,7,82,74,67,61,55,49,43,38,33,27,20,21,24,27,34,40,52,69,96,187,
6,5,8,97,89,81,74,68,62,56,51,45,40,35,29,21,25,29,36,45,59,87,164,
6,5,9,64,58,53,48,43,38,34,30,26,21,16,17,19,23,26,33,42,55,77,155,
6,5,10,80,73,66,59,54,48,43,38,33,28,21,21,24,28,33,38,50,65,96,181,
6,5,11,28,26,23,20,18,15,13,14,15,16,18,21,23,27,32,38,48,65,97,187,
6,5,12,162,147,134,122,110,100,90,80,71,63,54,46,37,30,33,38,49,65,97,183,
6,5,13,108,98,89,81,73,66,59,53,47,41,35,27,27,29,35,41,50,67,96,188,
6,5,14,61,56,51,46,41,37,33,29,25,21,18,20,22,25,30,35,43,59,88,169,
6,5,15,193,177,162,148,135,123,111,100,90,81,71,62,52,42,35,38,49,64,97,188,
6,5,16,238,214,191,169,149,129,111,100,94,91,85,78,69,59,47,38,48,66,96,183,
6,5,17,140,127,115,104,94,85,76,68,60,52,44,36,25,25,33,37,47,63,93,185,
6,5,18,67,60,55,49,44,39,35,30,26,20,18,20,23,27,32,38,49,65,93,183,
6,5,19,125,114,104,94,85,77,69,62,55,49,42,36,29,24,29,34,43,55,81,161,
6,5,20,110,100,92,85,78,71,65,59,53,48,42,36,28,29,33,38,46,64,94,178,
6,5,21,152,138,125,113,102,92,83,74,65,57,49,41,33,25,30,37,47,62,92,179,
6,5,22,157,142,129,117,106,95,85,76,67,59,51,43,35,26,31,37,48,65,96,188,
6,5,23,137,124,113,102,92,82,74,65,58,50,43,36,27,26,32,39,49,66,97,188,
6,5,24,71,62,55,49,43,39,34,29,25,19,19,21,23,28,32,40,48,65,98,189,
6,5,25,136,123,111,100,90,81,73,65,57,50,43,35,29,31,34,38,50,67,99,188,
6,5,26,53,48,43,39,34,30,26,21,19,17,19,21,23,27,31,39,49,65,97,192,
6,5,27,218,198,180,163,147,132,119,106,94,82,70,59,48,33,30,33,43,55,86,164,
6,5,28,86,78,71,64,57,51,46,40,35,29,22,24,26,29,33,40,51,64,96,186,
6,5,29,123,114,106,101,104,81,66,56,47,38,29,26,27,28,34,38,49,65,95,185,
