b,chi,seed,trueError,COR(1.000),COR(1.500),COR(1.667),COR(1.750),COR(1.800),COR(1.833),COR(1.857),COR(1.875),COR(1.889),COR(1.900),COR(1.909),COR(1.917),COR(1.923),COR(1.929),COR(1.933),COR(1.938),COR(1.941),COR(1.944),COR(1.947),COR(1.950)
8,1,596,638.8950110681826,47,30,51,60,75,93,107,126,150,157,160,160,160,160,160,160,160,160,160,160,
8,1,989,691.5975374063128,77,27,50,61,75,93,105,123,140,157,160,160,160,160,160,160,160,160,160,160,
8,1,388,818.9928379058028,160,55,48,67,78,97,111,128,145,159,160,160,160,160,160,160,160,160,160,160,
8,1,817,715.6443272957281,48,30,47,61,78,89,110,125,139,156,160,160,160,160,160,160,160,160,160,160,
8,1,205,597.069145555905,49,26,43,60,75,90,107,123,140,156,160,160,160,160,160,160,160,160,160,160,
8,1,604,776.6042279608017,52,28,45,63,80,95,115,128,141,159,160,160,160,160,160,160,160,160,160,160,
8,1,4,657.1196403630474,160,41,58,64,81,100,114,126,144,160,160,160,160,160,160,160,160,160,160,160,
8,1,435,789.4718027089505,93,28,44,61,74,92,107,126,145,160,160,160,160,160,160,160,160,160,160,160,
8,1,843,576.7857512470206,47,30,45,63,79,95,113,128,143,160,160,160,160,160,160,160,160,160,160,160,
8,1,236,826.7077389213694,160,90,45,61,77,94,111,8,6,6,6,6,6,6,6,6,6,6,6,7,
8,2,372,185.63239924297665,93,29,46,62,77,97,111,129,150,160,160,160,160,160,160,160,160,160,160,160,
8,2,877,281.5542208845935,160,160,149,94,93,111,112,131,148,160,160,160,160,160,160,160,160,160,160,160,
8,2,551,324.6652245003364,149,39,49,65,82,96,113,128,144,160,160,16,14,16,16,17,17,19,19,22,
8,2,832,353.0682365148675,160,94,79,91,10,9,9,9,10,11,12,13,13,14,15,15,16,19,20,21,
8,2,999,285.7474045997338,113,35,50,72,79,93,138,145,145,157,160,160,160,160,160,160,160,160,160,160,
8,2,536,291.88529848768167,66,37,45,62,81,92,110,124,138,160,160,160,160,160,160,160,160,160,160,160,
8,2,31,247.3856664684694,145,41,48,72,77,101,113,131,151,160,160,160,160,160,160,160,160,160,160,160,
8,2,556,243.62357007820307,78,27,48,66,77,98,112,129,142,158,160,160,160,21,22,22,22,23,24,24,
8,2,876,328.6472879509529,57,27,46,61,81,98,111,125,140,160,160,160,160,160,160,160,160,160,160,160,
8,2,373,256.55133498365376,141,35,45,61,80,95,110,125,138,160,160,160,160,160,160,160,160,160,160,160,
8,3,895,74.0202951839212,156,52,55,66,76,102,112,137,140,160,160,160,160,160,160,160,160,160,160,160,
8,3,452,81.13357514058697,160,44,53,65,83,97,114,126,158,158,160,160,160,160,160,160,160,160,160,160,
8,3,29,76.23217708073608,88,36,51,63,97,98,108,130,148,160,160,160,160,160,160,160,160,160,160,160,
8,3,604,100.72475920662416,160,120,62,75,103,117,121,127,145,160,160,160,160,160,160,160,160,44,160,50,
8,3,170,111.81951807951737,160,145,61,62,83,12,11,11,11,12,13,13,12,13,14,16,17,17,18,19,
8,3,368,108.78623878494727,160,55,47,91,110,95,141,143,153,160,160,160,160,160,160,160,160,160,160,160,
8,3,947,58.3007566995449,123,44,50,74,107,160,119,140,149,160,160,160,160,160,160,160,160,160,160,160,
8,3,512,90.20789457312102,160,77,70,71,84,97,112,129,147,160,160,160,160,160,160,160,160,160,160,160,
8,3,93,71.39283609941447,160,53,55,69,81,100,115,130,142,160,160,160,160,160,160,160,160,160,160,160,
8,3,655,106.6027501246349,160,160,65,80,83,101,111,127,147,155,160,160,160,160,160,160,160,160,160,160,
