b,chi,seed,LBOR,NOR,COR(1.60),COR(1.65),COR(1.70),COR(1.75),COR(1.80),COR(1.85),COR(1.90),COR(1.95),ROR
10,5,13,77,260,60,51,49,51,62,68,101,200,55,
10,5,14,66,139,55,46,45,47,56,73,106,206,53,
10,5,15,95,302,27,30,35,42,52,68,104,205,46,
10,5,16,71,264,67,56,41,49,52,70,101,199,49,
10,5,17,140,345,83,66,54,52,58,73,107,207,50,
10,5,18,48,129,46,47,45,47,57,84,111,209,54,
10,5,19,64,157,38,38,40,45,54,71,105,199,48,
10,5,20,105,226,52,37,34,42,53,70,104,203,58,
10,5,21,64,150,33,35,37,44,53,70,104,205,50,
10,5,22,55,144,34,35,38,45,54,72,107,209,53,
10,5,23,118,400,179,153,128,102,74,73,103,202,72,
10,5,24,95,195,34,34,35,42,52,70,103,211,44,
10,5,25,57,225,55,43,38,41,52,71,107,203,51,
10,5,26,49,152,36,38,41,46,56,73,105,203,56,
10,5,27,86,218,69,33,35,42,52,69,102,197,45,
10,5,28,63,150,31,30,36,42,53,70,103,203,46,
10,5,29,107,371,96,80,62,49,58,73,102,200,131,
10,5,30,106,400,208,177,147,117,85,73,107,203,149,
10,5,31,39,97,25,29,34,41,52,70,105,202,48,
10,5,32,37,128,28,33,42,44,55,71,106,205,56,
10,5,33,123,269,106,149,116,44,57,71,105,199,90,
10,5,34,61,170,31,35,35,41,52,68,101,217,47,
10,5,35,108,289,57,52,51,52,57,73,106,205,52,
10,5,36,80,246,40,31,35,42,53,70,103,202,50,
10,5,37,43,140,56,43,41,46,54,72,104,203,56,
10,5,38,62,250,33,34,36,43,52,70,105,207,46,
10,5,39,62,167,53,46,47,49,58,74,105,204,53,
10,5,40,40,113,26,29,34,41,52,69,102,203,39,
10,5,41,83,400,115,97,79,45,52,71,102,205,43,
10,5,42,70,164,31,37,41,46,57,73,106,204,58,
10,5,43,88,356,99,83,66,43,54,74,105,201,46,
10,5,44,47,168,130,97,75,55,58,73,111,204,62,
10,5,45,61,190,36,37,41,48,57,74,107,199,52,
10,5,46,35,145,25,29,34,42,52,70,106,208,40,
10,5,47,100,304,39,36,36,42,53,70,104,199,45,
10,5,48,159,400,165,139,114,90,57,71,104,199,59,
10,5,49,37,118,37,30,34,42,53,71,105,205,46,
10,5,50,67,203,46,39,40,44,54,72,106,206,51,
10,5,51,137,400,74,64,51,42,52,70,103,201,41,
10,5,52,83,188,39,39,42,46,54,72,106,204,52,
10,5,53,103,395,104,91,69,48,54,70,102,201,46,
10,5,54,91,280,175,102,45,46,53,71,107,205,45,
10,5,55,76,159,36,40,40,43,53,70,105,205,52,
10,5,56,37,128,28,32,35,44,54,72,104,204,50,
10,5,57,106,400,29,31,36,42,53,72,105,203,50,
10,5,58,61,166,34,34,36,42,53,70,105,205,49,
10,5,59,128,314,65,52,34,42,52,73,105,200,50,
10,5,60,34,107,31,36,54,51,58,73,108,207,57,
10,5,61,61,198,35,34,38,50,54,70,107,206,52,
10,5,62,74,187,40,37,39,42,52,69,104,198,48,
10,5,63,77,271,65,50,43,43,53,70,103,200,49,
10,5,64,49,141,95,79,63,59,57,74,105,208,56,
10,5,65,59,293,183,156,40,42,53,71,104,212,47,
10,5,66,118,238,49,37,35,43,55,80,117,215,47,
10,5,67,101,379,92,77,62,55,58,70,108,206,60,
10,5,68,104,400,152,90,78,72,70,74,104,198,67,
10,5,69,55,161,40,33,35,42,52,70,105,205,42,
10,5,70,45,146,38,32,35,44,54,72,106,205,50,
10,5,71,50,228,56,45,36,43,54,69,104,202,51,
10,5,72,80,343,108,89,63,44,70,71,106,206,56,
10,5,73,46,195,42,31,36,42,53,71,104,204,46,
10,5,74,52,133,34,35,37,43,52,68,106,204,45,
10,5,75,46,134,29,31,35,42,53,69,105,205,45,
10,5,76,69,139,37,34,36,42,53,71,106,204,46,
10,5,77,83,225,56,43,41,48,54,72,104,200,56,
10,5,78,58,156,27,30,35,43,53,70,105,203,50,
10,5,79,91,183,58,47,47,50,59,72,115,215,58,
10,5,80,56,197,54,53,61,65,65,76,107,203,68,
10,5,81,67,283,79,66,61,45,53,67,102,200,46,
10,5,82,34,91,27,31,36,43,54,70,106,207,46,
10,5,83,105,214,50,37,37,44,55,73,107,211,49,
10,5,84,78,296,74,59,44,45,55,76,108,206,53,
10,5,85,87,244,60,52,50,50,57,71,105,203,60,
10,5,86,115,400,113,93,74,66,64,88,105,201,69,
10,5,87,49,130,33,34,36,43,52,70,104,202,48,
10,5,88,99,211,47,33,35,42,53,71,104,204,45,
10,5,89,54,114,43,50,54,42,52,71,103,203,51,
10,5,90,40,116,32,33,36,45,57,75,112,205,49,
10,5,91,29,77,27,32,37,44,54,71,107,208,45,
10,5,92,54,138,96,79,50,44,54,70,103,198,57,
10,5,93,47,165,38,32,36,43,53,70,107,207,46,
10,5,94,67,133,30,32,35,42,52,70,103,199,48,
10,5,95,95,220,44,44,43,46,56,72,107,207,46,
10,5,96,53,210,47,35,36,43,53,70,113,215,51,
10,5,97,77,229,61,50,50,51,57,72,106,202,57,
10,5,98,61,156,38,37,38,47,59,74,104,202,47,
10,5,99,51,182,92,89,92,87,81,95,114,205,78,
