b,chi,seed,NOR,WCOR,WROR,IWROR,WLBOR,WNAG,SNAG,SSpiral(8),SSpiral(11),SSpiral(14),SSpiral(17),SSpiral(20),minError
4,2,825,2.427759474098061,2.427759474098064,0.9883753907900803,0.9883753907900841,2.427759474098062,0.9928351494057303,2.427759474098058,2.4277594740980586,2.427759474098057,2.427759474098062,2.427759474098058,2.4277594740980564,minError
4,2,316,1.9784721441027304,1.9784721400067944,1.9784721400067957,1.9784721400067962,1.9784721400067988,1.9888974645557336,1.9784721400067955,1.9784721400067964,1.978472140006792,1.9784721400067897,1.9784721400067926,1.978472140006792,minError
4,2,662,3.1400680488550625,3.140068048855062,3.1400680488550625,3.1400680488550634,3.1400680488550634,3.14809834275398,3.1400680488550616,3.140068048855062,nan,3.1400680488550625,3.1400680488550643,3.140068048855063,minError
4,2,895,1.405395303763684,1.405395303763684,1.4053953037636842,1.4053953037636844,1.4053953037636842,1.413855777369779,1.4053953037636844,1.4053953037636848,1.405395303763684,1.4053953037636842,1.4053953037636837,1.405395303763683,minError
4,2,2,3.699948101100169,3.699948101100168,3.6999481011001674,3.6999481011001656,3.699948101100167,3.712629171640193,3.699948101100167,3.699948101100166,3.699948101100169,3.6999481011001665,3.6999481011001674,3.6999481011001656,minError
4,2,111,0.386852650062127,0.38685265006212655,0.3868526500621266,0.3868526500621264,0.38685265006212627,0.3945843346002377,0.386852650062127,0.3868526500621273,0.38685265006212666,0.3868526500621261,0.3868526500621267,0.3868526500621272,minError
4,2,242,2.517960494580853,2.5179604945808576,2.517960494580855,2.5179604945808567,2.5179604945808554,2.527677707451179,2.517960494580857,2.517960494580856,2.517960494580854,2.5179604945808567,2.5179604945808567,2.5179604945808594,minError
4,2,358,1.5683356953191798,1.5683356953191738,3.637244723145071,3.637244723145067,1.568335695319176,1.596373063350268,1.5683356953191767,3.63724472314507,3.637244723145067,3.6372447231450633,3.3119470360881054,3.637244723145071,minError
4,2,457,1.3617246123211084,1.3617246123211115,1.361724612321107,1.3617246123211095,1.361724612321109,1.3745348621413762,1.3617246123211095,1.3617246123211064,1.361724612321111,1.3617246123211078,1.3617246123211113,1.361724612321111,minError
4,2,640,1.009811602003743,1.1815358035742882,1.181535803574287,1.1815358035742851,1.009811602003743,1.0170693711212735,1.1815358035742882,1.0098116020037442,1.0098116020037426,1.0098116020037429,1.0098116020037418,1.009811602003744,minError
b,chi,seed,NOR,WCOR,WROR,IWROR,WLBOR,WNAG,SNAG,SSpiral(8),SSpiral(11),SSpiral(14),SSpiral(17),SSpiral(20),minError
4,2,935,2.2993127147033676,2.29931271470337,2.2993127147033676,2.299312714703368,2.299312714703366,4.19755342082893,2.2993127147033703,nan,2.299312714703364,2.299312714703366,2.299312714703371,2.2993127147033645,minError
4,2,260,4.420241485849866,4.420241485849865,4.420241485849864,4.420241485849866,4.420241485849864,4.428947608750187,4.420241485849865,4.420241485849866,4.420241485849862,4.420241485849865,4.420241485849865,4.420241485849864,minError
4,2,567,2.1095176702113907,2.109517670211391,2.10951767021139,2.1095176702113916,2.109517670211392,4.263974366926284,3.2808130477908177,2.1095176702113907,2.1095176702113916,2.109517670211392,2.1095176702113894,2.1095176702113907,minError
4,2,936,6.469230238750794,6.469230238750789,6.4692302387508,6.469230238750792,6.469230238750798,3.363804596330682,3.3157147916860703,6.469230238750795,6.469230238750789,3.237763771277446,4.73351736195932,3.315714791686063,minError
4,2,257,1.8980873843022383,1.8980873843022406,1.8980873843022386,1.898087384302247,1.8980873843022357,1.9085107101524958,1.8980873843022383,1.89808738430224,1.8980873843022374,1.8980873843022423,1.8980873843022419,1.8980873843022403,minError
4,2,575,0.605142974913792,0.6051429749137897,0.6051429749137895,0.60514297491379,0.6051429749137904,0.9629668274417352,0.6051429749137891,0.605142974913789,3.0181233750277197,2.172611528817811,2.1726115288178036,0.6051429749137912,minError
4,2,904,0.857257538810366,0.8572575388103638,0.8572575388103771,0.8572575388103778,0.857257538810366,0.8661804430193962,0.8572575388103647,0.85725753881037,0.8572575388103628,0.857257538810364,0.8572575388103691,0.8572575388103566,minError
4,2,297,0.5286635478936569,0.528663547893656,0.5286635478936565,0.5286635478936557,0.5286635478936568,0.5400988770730448,0.5286635478936571,0.5286635478936558,0.5286635478936561,0.5286635478936558,0.5286635478936563,nan,minError
4,2,585,0.9109698207643893,0.910969820764389,0.9109698207643897,0.9109698207643906,0.9109698207643913,0.917670359283282,0.9109698207643888,0.9109698207643915,0.9109698207643899,0.9109698207643896,0.9109698207643904,0.9109698207643906,minError
4,2,964,2.405128374348242,2.405128374348243,2.4051283743482417,2.4051283743482426,2.4051283743482417,1.6283512021152047,2.405128374348242,2.4051283743482417,2.4051283743482426,nan,2.4051283743482426,2.4051283743482417,minError
